text,label,meta,context,source,target
Zimbabwean Prime Minister Robert Mugabe today accused the United States of restoring the blackmail in the negotiations on independence for Namibia.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=160,,Zimbabwean Prime Minister Robert Mugabe,United States
"Ousted president Jean-Bertrand Aristide has been accused of misusing up to US $50 million ($73 million) in public funds, much of it believed to have been embezzled, by current Haitian government officials.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=161,,Haitian government,Jean-Bertrand Aristide
"Human rights watchdog Amnesty International accused the United States of violating human rights, ignoring international law and sending a ``permissive signal to abusive governments''.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=162,,Amnesty International,United States
"The Sudanese government has accused Darfur rebels of violating a month-old ceasefire, a member of the Chadian team trying to broker a peace pact has said.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=163,,Sudanese government,Darfur rebels
"Palestinians blamed Israel for the bombing of Raed Karmi in the West Bank City of Tulkarm, which has set off a renewed wave of violence.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=164,,Palestinians,Israel
Kosovo's prime minister has been indicted by the U.N. war crimes court for his alleged part in atrocities during the fight against Serb forces and will resign.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=165,,U.N. war crimes court,Kosovo's prime minister
"A Christian missionary from Calgary was arrested in Lebanon for collaborating with Israel, according to the Canadian Press.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=166,,Lebanon,Christian missionary from Calgary
Nigerian authorities jailed 52 members of the banned Movement for the Actualization of the Sovereign State of Biafra (MASSOB) on allegations of treason for playing in a youth football tournament in Lagos.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=167,,Nigerian authorities,Movement for the Actualization of the Sovereign State of Biafra
"An official Syrian newspaper called Thursday on Arabs to unite and ``mobilize'' against Israeli right-winger Ariel Sharon, who has vowed not to return the Golan Heights to Syria if he is elected prime minister February 4.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=168,,official Syrian newspaper,Israeli right-winger Ariel Sharon
Archbishop Desmond Tutu on Sunday called for sanctions against Nigeria in the wake of the execution of Ken Saro-Wiwa.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=169,,Archbishop Desmond Tutu,Nigeria
"Yugoslavia lodged an official protest with Albania today, charging its neighbor with supporting dissidents here in what is said was tantamount to inciting revolution.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=170,,Yugoslavia,Albania
Lebanon complained to the United Nations on Tuesday over two Israeli air raids last Friday in which it said 20 people were killed or wounded.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=171,,Lebanon,Israeli
"A Saudi businessman is suing the United States for damages to his pharmaceutical plant which were caused by a missile attack in August, his American lawyer said.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=172,,Saudi businessman,United States
"A European court convicted Turkey of ""inhuman acts"" Thursday for destroying the home of a Kurdish citizen in the country's southeast.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=173,,European court,Turkey
"The Palestinians reject proposed Israeli changes to the Wye River land-for-security deal, chief Palestinian negotiator Saeb Erakat said.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=174,,Palestinians,Israeli
"Yemen has rejected a U.S. request to interrogate detainees held after the escape of 23 al-Qaida prisoners, a security official said Tuesday.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=175,,Yemen,U.S.
"Bangladesh has once again outright rejected an Indian proposal for signing Free Trade Agreement (FTA) with her, urging the counterpart to sign the proposed South Asia Free Trade Agreement (SAFTA) instead.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=176,,Bangladesh,Indian
"South Korea has rejected North Korea's consistent demand to sever a decades-long military alliance with Washington, which keeps troops here under a mutual defense pact.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=177,,South Korea,North Korea
Yugoslavia on Thursday flatly rejected an Australian ultimatum to handover a guard involved in a shooting in front of the Yugoslav consulate in Sydney.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=178,,Yugoslavia,Australian
"The UN on Tuesday imposed a de facto information blackout on the withdrawal, collection and monitoring of heavy weapons around Sarajevo.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=179,,UN,Sarajevo
"Bonn rejected recent calls by East Germany's Communist rulers for immediate economic aid, saying it was withholding it until a democratically-elected government takes over.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=180,,Bonn,East Germany's Communist rulers
"The Turkish government has refused to commit to any direct assistance to the US-led war against Iraq, citing domestic opposition.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=181,,Turkish government,US
Syria says it will not accept any more refugees if war starts in Iraq.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=182,,Syria,recipient
The United Nations on Tuesday rejected a call for its peacekeeping forces to be deployed in East Timor.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=183,,United Nations,East Timor
"Pakistan, a key U.S. ally in the war against terrorism, has refused to deploy peacekeepers in Iraq and has urged its citizens to avoid coming here.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=184,,Pakistan,Iraq
"The US on Thursday rejected calls by Kofi Annan, UN secretary-general, to adopt far-reaching United Nations reforms as a comprehensive package.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=185,,US,Kofi Annan
Vice-President Moody Awori has declined to resign despite growing pressure by the Kenya Anti-Corruption Commision after he was implicated in a major scandal.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=186,,Vice-President Moody Awori,Kenya Anti-Corruption Commision
"Ankara's Cankaya district administration has denied land allocation for the construction of an Alevite temple, Cemevi, in the district.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=187,,Ankara's Cankaya district administration,Alevite
"In what has been described as a policy u-turn, President Levy Mwanawasa has reneged on his commitment to the Zambian people for holding elections under a new constitution.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=188,,President Levy Mwanawasa,Zambian people
"Despite warnings of starvation by humanitarian agencies, the Israeli government is refusing to lift the curfew on Palestinians living in the West Bank and Gaza.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=189,,Israeli government,Palestinians living in the West Bank and Gaza
"Around 1,800 of 2,200 Serbian teachers will not end their strike unless their demands for wage increases are met by Belgrade, a union official announced after three weeks of striking.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=190,,Serbian teachers,Belgrade
"The U.S. said it would not meet hostage-takers demands to release prisoners in Iraq, including a number of females.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=191,,U.S.,Iraq
US authorities said yesterday that removing the sanctions on Burma is currently out of the question as that would reward the regime for doing nothing.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=192,,US authorities,Burma
"The UNITA militarist wing refused to allow United Nations planes to land and evacuate 15 of its observers who were taken hostage, the United Nations Observer Mission in Angola (MONUA) said.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=193,,UNITA militarist wing,United Nations
Beirut again rejected Thursday a United Nations appeal for deploying army troops along its borders with Israel.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=194,,Beirut,United Nations
Iran's religious leader Ayatollah Ruhollah Khomeini today rejected Iraqi President Saddam Hussein's proposal for a cease-fire during the Moslem holy month of Ramadan.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=195,,Iran's religious leader Ayatollah Ruhollah Khomeini,Iraqi President Saddam Hussein
"Rebels in the Ivory Coast on Wednesday dismissed an appeal from President Laurent Gbago to lay down their arms, saying they had lost all trust in the government they rose up against on September 19.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=196,,Rebels in the Ivory Coast,President Laurent Gbago
"Israeli President Moshe Katsav has refused to meet Jordan's visiting King Abdullah II in Tel Aviv, saying he would only welcome him in Jerusalem, his office said Tuesday.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=197,,Israeli President Moshe Katsav,Jordan's visiting King Abdullah II
"The radical Palestinian Islamic Jihad movement rejected an invitation to attend a meeting next week of Palestinian factions to debate plans for independence from Israel, the group said Wednesday.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=198,,Palestinian Islamic Jihad,Palestinian
Pakistan President Mohammad Zia-Ul-Haq today rejected a fresh offer from Afganistan for direct talks between the two neighbors.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=199,,Pakistan President Mohammad Zia-Ul-Haq,Afganistan
Palestinian leader Yasser Arafat Wednesday rejected a US offer to host a summit in mid-July to hammer out a framework agreement for peace between the Israelis and the Palestinians.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=200,,Palestinian leader Yasser Arafat,US
"Israel is opposed to French mediation in peace negotiations with Syria, a close aide to Prime Minister Ehud Barak said Wednesday.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=201,,Israel,French
"Ivory Coast rebels on Friday again rejected a west African peace plan, and said they also opposed the deployment of a regional peacekeeping force until their political demands are met.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=202,,Ivory Coast rebels,west African
Newly appointed Palestinian Prime Minister Ismail Haniyeh has refused to respond to a demand from the US President to adhere to interim peace deals reached with Israel.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=203,,Palestinian Prime Minister Ismail Haniyeh,Israel
